datetime,open,high,low,close,volume
1990/1/2,35.249999,37.5,35,1.162216,45799600
1990/1/3,37.999999,37.999999,37.5,1.170016,51998800
1990/1/4,38.250001,38.749999,37.250001,1.173916,55378400
1990/1/5,37.75,38.250001,36.999999,1.177816,30828000
1990/1/8,37.5,37.999999,36.999999,1.185616,25393200
1990/1/9,37.999999,37.999999,36.999999,1.173916,21534800
1990/1/10,37.625,37.625,35.75,1.123216,49929600
1990/1/11,36.249999,36.249999,34.499999,1.076415,52763200
1990/1/12,34.25,34.750001,33.750001,1.076415,42974400
1990/1/15,34.499999,35.75,34.25,1.068615,40434800
1990/1/16,33.499999,35,32.749999,1.088115,53561200
1990/1/17,34.750001,34.750001,33.000001,1.037414,49324800
1990/1/18,33.000001,33.499999,32.25,1.010114,68322800
1990/1/19,33.750001,34.499999,33.499999,1.068615,66284400
1990/1/22,34,34.499999,33.25,1.037414,36402800
1990/1/23,33.750001,34.25,33.000001,1.053015,35218400
1990/1/24,32.5,34.25,32.25,1.060815,42448000
1990/1/25,34.25,34.750001,34,1.064715,27885200
1990/1/26,34,34,32.25,1.021814,45312400
1990/1/29,33.000001,33.499999,32.125001,1.037414,29982400
1990/1/30,33.25,34.499999,33.000001,1.060815,29111600
1990/1/31,34.499999,34.750001,33.000001,1.060815,35985600
1990/2/1,34.499999,34.625001,33.499999,1.049114,29268400
1990/2/2,33.25,34.750001,33.25,1.068615,29618400
1990/2/5,34.25,35.249999,34,1.092015,25438000
1990/2/6,34.750001,35,34,1.084215,18480000
1990/2/7,33.000001,34,32.5,1.037414,78111600
1990/2/8,33.25,33.499999,32.25,1.029614,46659200
1990/2/9,33.499999,34.499999,33.25,1.068615,42019600
1990/2/12,34.25,34.499999,33.750001,1.060815,18729200
1990/2/13,34,35,33.750001,1.076415,25541600
1990/2/14,34.499999,34.750001,33.750001,1.068615,24015600
1990/2/15,33.750001,34.25,33.499999,1.068615,24491600
1990/2/16,34.25,34.499999,33.750001,1.056409,31802400
1990/2/20,33.499999,33.750001,33.000001,1.048583,30811200
1990/2/21,32.749999,34.25,32.5,1.064234,43976800
1990/2/22,34,34.499999,33.000001,1.032933,48795600
1990/2/23,32.749999,33.499999,32.749999,1.040758,37489200
1990/2/26,33.000001,34.25,33.000001,1.064234,19902400
1990/2/27,34,34.25,33.499999,1.048583,18488400
1990/2/28,33.499999,34,33.25,1.064234,27333600
1990/3/1,33.499999,34.750001,33.25,1.072059,50974000
1990/3/2,33.499999,34.750001,33.25,1.056409,26224800
1990/3/5,33.499999,34.750001,33.499999,1.079884,45617600
1990/3/6,35,35.249999,34.499999,1.10336,39004000
1990/3/7,35,36,35,1.107273,51055200
1990/3/8,35.75,36.999999,35,1.150312,55960800
1990/3/9,36.75,37.5,36.249999,1.154224,57618400
1990/3/12,37.250001,37.5,36.249999,1.146399,40989200
1990/3/13,36.500001,37.250001,36.249999,1.154224,37144800
1990/3/14,36.75,37.250001,36.500001,1.158137,25446400
1990/3/15,36.500001,37.999999,36.500001,1.150312,30058000
1990/3/16,40.000001,40.750001,39.125001,1.259865,161190400
1990/3/19,40.499999,42.500001,40.000001,1.32638,107948400
1990/3/20,42.249999,43,40.750001,1.295079,97829200
1990/3/21,41.25,42.249999,41.25,1.302904,38183600
1990/3/22,41.750001,42.249999,40.750001,1.275516,57915200
1990/3/23,41.25,43,41,1.322467,56996800
1990/3/26,42.500001,43.375001,42,1.322467,32015200
1990/3/27,42,42.249999,41.25,1.314642,21151200
1990/3/28,42,42.125,41,1.291166,25734800
1990/3/29,41,41.499999,40.750001,1.287254,24222800
1990/3/30,40.000001,41,40.000001,1.259865,55837600
1990/4/2,40.000001,40.624999,39.5,1.259865,37192400
1990/4/3,40.499999,41.750001,40.499999,1.306817,34927200
1990/4/4,41.499999,42,40.750001,1.291166,37433200
1990/4/5,41,41.25,40.000001,1.259865,27048000
1990/4/6,40.25,41.25,39.749999,1.248127,29559600
1990/4/9,39.749999,41.499999,39.5,1.287254,26370400
1990/4/10,41.25,42,41,1.291166,32830000
1990/4/11,41.499999,43,41.499999,1.330292,53289600
1990/4/12,43,43.999999,42.500001,1.353768,52950800
1990/4/16,43.500001,44.250001,43.249999,1.369419,56722400
1990/4/17,43.249999,43.500001,42.75,1.353768,32776800
1990/4/18,43.249999,43.75,42.500001,1.353768,48361600
1990/4/19,41.750001,43.124999,40.000001,1.259865,120369200
1990/4/20,40.875001,41.499999,39.749999,1.259865,80880800
1990/4/23,40.25,40.499999,39.5,1.244215,32088000
1990/4/24,40.000001,40.499999,38.5,1.212914,75933200
1990/4/25,38.749999,39.000001,38.250001,1.212914,33143600
1990/4/26,39.000001,39.5,38.125001,1.216826,35540400
1990/4/27,39.000001,39.5,38.749999,1.224652,29103200
