datetime,open,high,low,close,volume,adj_price
1990/1/2,94.75,98.125,94.5,98,7041600,15.430543
1990/1/3,98.75,99.5,98.375,98.875,9464000,15.568316
1990/1/4,99,100.375,98.875,100,9674800,15.745452
1990/1/5,99.875,101.625,99.5,99.75,7570000,15.706088
1990/1/8,99.25,100.875,99.25,100.375,4625200,15.804497
1990/1/9,100.5,101.25,99.375,99.375,7048000,15.647043
1990/1/10,99.5,100,98.625,99,5945600,15.587998
1990/1/11,99.5,100.375,99.375,99.875,5905600,15.72577
1990/1/12,98.625,99.25,97.625,97.875,5390800,15.410861
1990/1/15,97.625,98.375,97.25,98.125,4035600,15.450225
1990/1/16,97.5,100.375,97.5,100.125,8220400,15.765134
1990/1/17,100.375,100.875,98.375,98.875,8926000,15.568316
1990/1/18,98,99.625,97.625,99.5,6926400,15.666725
1990/1/19,99.75,99.875,98.5,98.625,6594800,15.528952
1990/1/22,98.75,99.125,96.5,96.625,6882800,15.214043
1990/1/23,97,98.25,96.625,96.75,5922800,15.233725
1990/1/24,95.75,97.875,95.5,97.5,9820400,15.351816
1990/1/25,97.875,97.875,95,95.875,6792400,15.095952
1990/1/26,96.125,97.25,95.125,96.875,7345600,15.253407
1990/1/29,97.375,97.75,95.5,97.25,5153600,15.312452
1990/1/30,97.375,97.625,95.75,97.25,8646800,15.312452
1990/1/31,98,98.625,97.625,98.625,8452000,15.528952
1990/2/1,98.625,99.75,97.75,97.75,6903600,15.391179
1990/2/2,97.875,98.75,97.875,98.375,6064400,15.489588
1990/2/5,97.625,99.875,97.5,99.625,5299200,15.881751
1990/2/6,99.625,101.375,98.625,101,10808000,16.100947
1990/2/7,100.75,103.75,100.625,103.125,12057600,16.439705
1990/2/8,103.625,103.875,101.875,102.75,7932000,16.379924
1990/2/9,102.875,103.25,102,102.5,5061600,16.34007
1990/2/12,102.375,102.375,100.625,101.125,4766400,16.120874
1990/2/13,101.875,103.25,101.25,103.25,7168400,16.459632
1990/2/14,103.375,104.25,103.25,103.75,6006800,16.539339
1990/2/15,104.125,104.625,103.75,103.75,5704000,16.539339
1990/2/16,104.5,104.5,103.375,103.5,8805600,16.499486
1990/2/20,102.625,103.125,102.25,102.875,5599600,16.399851
1990/2/21,102.25,105.125,102,104.875,8096400,16.718682
1990/2/22,105,105.5,103.25,103.25,9185600,16.459632
1990/2/23,102.75,103.875,102,102.625,6251600,16.359997
1990/2/26,103,104.125,102.5,104,5486000,16.579193
1990/2/27,104.125,105.5,103.625,103.75,6890800,16.539339
1990/2/28,103.625,104.625,103.125,103.875,5761200,16.559266
1990/3/1,103.75,104.375,103.375,104,4490800,16.579193
1990/3/2,104,105.375,104,104.875,5690000,16.718682
1990/3/5,104.875,105.875,104.625,105,5509200,16.738609
1990/3/6,105.25,105.75,104.25,105.75,5100800,16.85817
1990/3/7,106,106.25,105.25,105.5,6158400,16.818316
1990/3/8,106,107.375,106,107,6947600,17.057439
1990/3/9,107,107.375,106.25,106.5,7003200,16.977732
1990/3/12,106.5,107.75,106.25,107.75,6051200,17.177001
1990/3/13,107.5,108.25,106.25,106.25,8300800,16.937878
1990/3/14,106.875,107,105.625,106.25,4990800,16.937878
1990/3/15,106.625,107.375,106.5,107,5328000,17.057439
1990/3/16,107.75,108.75,107.375,108.625,10296400,17.316489
1990/3/19,108.125,109.125,107.375,109,6428800,17.37627
1990/3/20,108.875,109.375,107.875,108,7406400,17.216855
1990/3/21,108.5,108.5,107.125,107.25,3389200,17.097293
1990/3/22,107,107.5,105.5,106.5,4801200,16.977732
1990/3/23,106,106.125,104.875,105,4597600,16.738609
1990/3/26,105.5,105.75,104.125,104.125,3350000,16.59912
1990/3/27,103.625,104.75,103.375,104.5,5292800,16.658901
1990/3/28,104.25,105.875,103.75,105.875,5824400,16.878097
1990/3/29,106,106.875,105.75,106,5656800,16.898024
1990/3/30,106.375,106.75,105.625,106.125,5704000,16.917951
1990/4/2,105.125,105.875,105,105.875,5193200,16.878097
1990/4/3,106,106.75,106,106.625,4201600,16.997658
1990/4/4,106.625,107.75,105.875,106.5,6864800,16.977732
1990/4/5,106.75,106.875,105.875,106.125,3473600,16.917951
