datetime,open,high,low,close,volume
1990/1/2,94.75,98.125,94.5,15.430543,7041600
1990/1/3,98.75,99.5,98.375,15.568316,9464000
1990/1/4,99,100.375,98.875,15.745452,9674800
1990/1/5,99.875,101.625,99.5,15.706088,7570000
1990/1/8,99.25,100.875,99.25,15.804497,4625200
1990/1/9,100.5,101.25,99.375,15.647043,7048000
1990/1/10,99.5,100,98.625,15.587998,5945600
1990/1/11,99.5,100.375,99.375,15.72577,5905600
1990/1/12,98.625,99.25,97.625,15.410861,5390800
1990/1/15,97.625,98.375,97.25,15.450225,4035600
1990/1/16,97.5,100.375,97.5,15.765134,8220400
1990/1/17,100.375,100.875,98.375,15.568316,8926000
1990/1/18,98,99.625,97.625,15.666725,6926400
1990/1/19,99.75,99.875,98.5,15.528952,6594800
1990/1/22,98.75,99.125,96.5,15.214043,6882800
1990/1/23,97,98.25,96.625,15.233725,5922800
1990/1/24,95.75,97.875,95.5,15.351816,9820400
1990/1/25,97.875,97.875,95,15.095952,6792400
1990/1/26,96.125,97.25,95.125,15.253407,7345600
1990/1/29,97.375,97.75,95.5,15.312452,5153600
1990/1/30,97.375,97.625,95.75,15.312452,8646800
1990/1/31,98,98.625,97.625,15.528952,8452000
1990/2/1,98.625,99.75,97.75,15.391179,6903600
1990/2/2,97.875,98.75,97.875,15.489588,6064400
1990/2/5,97.625,99.875,97.5,15.881751,5299200
1990/2/6,99.625,101.375,98.625,16.100947,10808000
1990/2/7,100.75,103.75,100.625,16.439705,12057600
1990/2/8,103.625,103.875,101.875,16.379924,7932000
1990/2/9,102.875,103.25,102,16.34007,5061600
1990/2/12,102.375,102.375,100.625,16.120874,4766400
1990/2/13,101.875,103.25,101.25,16.459632,7168400
1990/2/14,103.375,104.25,103.25,16.539339,6006800
1990/2/15,104.125,104.625,103.75,16.539339,5704000
1990/2/16,104.5,104.5,103.375,16.499486,8805600
1990/2/20,102.625,103.125,102.25,16.399851,5599600
1990/2/21,102.25,105.125,102,16.718682,8096400
1990/2/22,105,105.5,103.25,16.459632,9185600
1990/2/23,102.75,103.875,102,16.359997,6251600
1990/2/26,103,104.125,102.5,16.579193,5486000
1990/2/27,104.125,105.5,103.625,16.539339,6890800
1990/2/28,103.625,104.625,103.125,16.559266,5761200
1990/3/1,103.75,104.375,103.375,16.579193,4490800
1990/3/2,104,105.375,104,16.718682,5690000
1990/3/5,104.875,105.875,104.625,16.738609,5509200
1990/3/6,105.25,105.75,104.25,16.85817,5100800
1990/3/7,106,106.25,105.25,16.818316,6158400
1990/3/8,106,107.375,106,17.057439,6947600
1990/3/9,107,107.375,106.25,16.977732,7003200
1990/3/12,106.5,107.75,106.25,17.177001,6051200
1990/3/13,107.5,108.25,106.25,16.937878,8300800
1990/3/14,106.875,107,105.625,16.937878,4990800
1990/3/15,106.625,107.375,106.5,17.057439,5328000
1990/3/16,107.75,108.75,107.375,17.316489,10296400
1990/3/19,108.125,109.125,107.375,17.37627,6428800
1990/3/20,108.875,109.375,107.875,17.216855,7406400
1990/3/21,108.5,108.5,107.125,17.097293,3389200
1990/3/22,107,107.5,105.5,16.977732,4801200
1990/3/23,106,106.125,104.875,16.738609,4597600
1990/3/26,105.5,105.75,104.125,16.59912,3350000
1990/3/27,103.625,104.75,103.375,16.658901,5292800
1990/3/28,104.25,105.875,103.75,16.878097,5824400
1990/3/29,106,106.875,105.75,16.898024,5656800
1990/3/30,106.375,106.75,105.625,16.917951,5704000
1990/4/2,105.125,105.875,105,16.878097,5193200
1990/4/3,106,106.75,106,16.997658,4201600
1990/4/4,106.625,107.75,105.875,16.977732,6864800
1990/4/5,106.75,106.875,105.875,16.917951,3473600
1990/4/6,106.25,106.375,105.25,16.878097,3009200
1990/4/9,105.625,105.875,105.25,16.818316,3131200
1990/4/10,105.25,106.375,105.125,16.878097,3739200
1990/4/11,106.125,106.5,105.875,16.957805,2580800
1990/4/12,107.125,108,107,17.077366,3686400
1990/4/16,110,111.25,110,17.675174,16482800
1990/4/17,110.5,111.25,109.875,17.715027,7657600
1990/4/18,110.875,110.875,109.5,17.515758,6124000
1990/4/19,109.5,110.25,109.125,17.396197,6110000
1990/4/20,109.375,109.5,108.25,17.436051,6626000
1990/4/23,109,109.5,108.625,17.436051,5400800
1990/4/24,109.625,110.375,108.875,17.356343,5226400
1990/4/25,109.25,110.125,109.125,17.436051,4693600
1990/4/26,109.875,110,108.5,17.336416,5529200
1990/4/27,109,109,107.375,17.11722,3926400
1990/4/30,107,109.25,107,17.37627,6451600
1990/5/1,109.5,109.625,107.875,17.216855,4664800
1990/5/2,108,109.125,108,17.396197,4866400
1990/5/3,109.5,110.125,109.125,17.416124,6674800
1990/5/4,108.625,110.625,108.25,17.812678,6049200
1990/5/7,110.5,111.375,110.25,17.812678,5220800
1990/5/8,110.5,111,110.375,17.852978,4962000
1990/5/9,110.75,111.25,110.375,17.933578,4860000
1990/5/10,111.375,112.875,111.25,18.114929,7253200
1990/5/11,113.625,114.5,113,18.37688,10189200
1990/5/14,114.125,115.5,114,18.41718,9242400
1990/5/15,113.875,115.625,113.75,18.638831,5944000
1990/5/16,115.25,115.75,114.625,18.598531,7046000
1990/5/17,115.875,116.25,115.125,18.719432,6090400
1990/5/18,115.875,116.25,115.25,18.598531,7080800
1990/5/21,115.125,117.375,115.125,18.860482,6942400
1990/5/22,117.5,117.75,116.625,18.981383,7734400
1990/5/23,117.5,118.75,117.25,19.142583,6812400
1990/5/24,118.75,118.875,117.875,19.142583,5781200
1990/5/25,117.625,118,116.125,18.739582,4594800
1990/5/29,117,119.875,116.75,19.303784,7840400
1990/5/30,120,122.125,119.625,19.485135,11428000
1990/5/31,119.75,120.875,119.5,19.344084,7963600
1990/6/1,120.5,120.75,119,19.263484,6168000
1990/6/4,119.5,120.875,119.25,19.404535,5193200
